reaction_id,regulator,regulation
SERD_L,his_L_c,competitive inhibition
FBP,fdp_c,competitive inhibition
FBP,g6p_c,competitive inhibition
FBP,pi_c,competitive inhibition
PGI,pep_c,competitive inhibition
PPS,adp_c,competitive inhibition
PPS,adpglc_c,competitive inhibition
PPS,akg_c,competitive inhibition
PPS,amp_c,competitive inhibition
PPS,atp_c,competitive inhibition
PPS,mal_L_c,competitive inhibition
PPS,oaa_c,competitive inhibition
PPS,pep_c,competitive inhibition
GLGC,adp_c,competitive inhibition
GLGC,amp_c,competitive inhibition
GLGC,fdp_c,competitive inhibition
GLGC,pep_c,competitive inhibition
GLGC,ppi_c,competitive inhibition
GLCS1,_6pgl_c,competitive inhibition
PRPPS,adp_c,competitive inhibition
ATPPRT,amp_c,competitive inhibition
ATPPRT,atp_c,competitive inhibition
ATPPRT,his_L_c,competitive inhibition
IGPDH,pi_c,competitive inhibition
HISTP,his_L_c,competitive inhibition
HSST,met_L_c,competitive inhibition
ADK1,amp_c,competitive inhibition
G6PDH2r,nadh_c,competitive inhibition
GND,atp_c,competitive inhibition
GND,nadp_c,competitive inhibition
GND,coa_c,competitive inhibition
TALA,pi_c,competitive inhibition
EDA,_6pgc_c,competitive inhibition
EDA,g3p_c,competitive inhibition
GLUPRT,adp_c,competitive inhibition
GLUPRT,amp_c,competitive inhibition
PRFGS,glu_L_c,competitive inhibition
PRAIS,atp_c,competitive inhibition
PRAIS,pi_c,competitive inhibition
ADSS,fum_c,competitive inhibition
ADSS,succ_c,competitive inhibition
ACALD,amp_c,competitive inhibition
ASPK,glu_L_c,competitive inhibition
ASPK,mal_L_c,competitive inhibition
ASPK,succ_c,competitive inhibition
ASPK,thr_L_c,competitive inhibition
ASPK,lys_L_c,competitive inhibition
ASPK,leu_L_c,competitive inhibition
ASPK,hom_L_c,competitive inhibition
ASAD,cys_L_c,competitive inhibition
SDPTA,akg_c,competitive inhibition
DAPDC,glu_L_c,competitive inhibition
DAPDC,cys_L_c,competitive inhibition
DAPDC,lys_L_c,competitive inhibition
HSK,ser_L_c,competitive inhibition
HSK,thr_L_c,competitive inhibition
HSK,cys_L_c,competitive inhibition
HSK,lys_L_c,competitive inhibition
HSK,val_L_c,competitive inhibition
HSK,met_L_c,competitive inhibition
HSK,ile_L_c,competitive inhibition
HSK,pser_L_c,competitive inhibition
HSK,aspsa_c,competitive inhibition
HSK,hcys_L_c,competitive inhibition
HSDy,nadp_c,competitive inhibition
HSDy,ser_L_c,competitive inhibition
HSDy,thr_L_c,competitive inhibition
HSDy,cys_L_c,competitive inhibition
HSDy,hom_L_c,competitive inhibition
DHQTi,succ_c,competitive inhibition
PPNDH,acon_C_c,competitive inhibition
PPNDH,cit_c,competitive inhibition
PPNDH,phe_L_c,competitive inhibition
CHORM,acon_C_c,competitive inhibition
CHORM,cit_c,competitive inhibition
CHORM,phe_L_c,competitive inhibition
CHORM,tyr_L_c,competitive inhibition
CHORM,chor_c,competitive inhibition
PPND,amp_c,competitive inhibition
PPND,cit_c,competitive inhibition
PPND,nadh_c,competitive inhibition
PPND,tyr_L_c,competitive inhibition
PPND,_34hpp_c,competitive inhibition
PSCVT,pep_c,competitive inhibition
PSCVT,pyr_c,competitive inhibition
PSCVT,_3psme_c,competitive inhibition
ANS,trp_L_c,competitive inhibition
ANPRT,trp_L_c,competitive inhibition
KARA1,nadh_c,competitive inhibition
KARA1,nadp_c,competitive inhibition
KARA1,coa_c,competitive inhibition
ILETA,leu_L_c,competitive inhibition
ILETA,tyr_L_c,competitive inhibition
ICL,icit_c,inhibition
ICDHyr,pep_c,inhibition
GLUN,adp_c,inhibition
GLUN,atp_c,inhibition
GLUN,nad_c,inhibition
GLUN,nadh_c,inhibition
GLUN,nadp_c,inhibition
GLUN,nadph_c,inhibition
GLUN,pi_c,inhibition
FBA,dhap_c,inhibition
FBP,adp_c,inhibition
FBP,amp_c,inhibition
PGI,_6pgc_c,inhibition
G6PDH2r,nadph_c,inhibition
GND,fdp_c,inhibition
GND,ru5p_D_c,inhibition
RPI,amp_c,inhibition
PTAr,adp_c,inhibition
PTAr,atp_c,inhibition
PTAr,nadh_c,inhibition
PTAr,nadph_c,inhibition
LDH_D,atp_c,inhibition
ICL,icit_c,competitive inhibition
ICDHyr,pep_c,competitive inhibition
GLUN,adp_c,competitive inhibition
GLUN,atp_c,competitive inhibition
GLUN,nad_c,competitive inhibition
GLUN,nadh_c,competitive inhibition
GLUN,nadp_c,competitive inhibition
GLUN,nadph_c,competitive inhibition
GLUN,pi_c,competitive inhibition
FBA,dhap_c,competitive inhibition
FBP,adp_c,competitive inhibition
FBP,amp_c,competitive inhibition
PGI,_6pgc_c,competitive inhibition
G6PDH2r,nadph_c,competitive inhibition
GND,fdp_c,competitive inhibition
GND,ru5p_D_c,competitive inhibition
RPI,amp_c,competitive inhibition
PTAr,adp_c,competitive inhibition
PTAr,atp_c,competitive inhibition
PTAr,nadh_c,competitive inhibition
PTAr,nadph_c,competitive inhibition
LDH_D,atp_c,competitive inhibition
